mid,province,gender,verified,retweet_mid_indicator,uid,retweet_uid_indicator,source,image,text,geo,created_at,delete_indicator,censor_indicator
mAMy0tYNVK,11,m,True,1,u5KY5FOWB,0,iPhone客户端,0,怎么举家食粥?我天天吃肉，胖得像猪! //@uII5OWY4J： 有人说，这是一个平庸的时代，一个物质的时代，一个愚乐的时代，一个缺乏大师的时代，可是，我们不能把什么过错都推给时代。一个人左右不了时代，却可以左右自己的脸——它可以不漂亮，却不可以没内容,0,2012-08-23,1,1
m60zD2CSq2,11,m,True,1,u5KY5FOWB,0,iPhone客户端,0,想起了邓拓 //@uII5OWY4J： 有人说，这是一个平庸的时代，一个物质的时代，一个愚乐的时代，一个缺乏大师的时代，可是，我们不能把什么过错都推给时代。一个人左右不了时代，却可以左右自己的脸——它可以不漂亮，却不可以没内容,0,2012-08-23,1,1
mHNlz4lRb4,100,m,True,1,uATZFNH3J,0,新浪微博,0,徐怀谦：我们不能把什么过错都推给时代。一个人左右不了时代，却可以左右自己的脸——它可以不漂亮，却不可以没内容,0,2012-08-23,1,1
mHNleTGxqL,11,m,True,1,uMMS54BNG,1,iPhone客户端,0,恐惧症,0,2012-08-30,1,1
mP6EFQfkl1,100,m,False,0,uRSRB3POP,0,iPhone客户端,0,十亿青年十亿兵，国耻岂待儿孙平，愿提十万虎狼旅，跃马杨刀入东京！宁可大陆不长草，也要收服#钓鱼岛#,0,2012-09-13,1,1
mVZLQaSBuT,50,m,True,1,u1CIX4OZM,1,三星Galaxy SIII,0,//@uWWBCMWBS： @uPKFOCQQH： 看那条“发送至多人”，笑崩了。//@uBKZ0FFUJ：  又有政府领导要红了。//@ukn：  这个要转起来，睡务忙人啊！@uK3R52KFN： //@ukn： :婊子,0,2012-09-26,1,1
mT525tJokF,81,m,True,0,uKB5ZKCA2,0,新浪博客,0,发表了博文 《莫对港独姑息养奸05-10-2012》 - 「十&#8231,0,2012-10-05,1,1
mSaw905RMD,11,m,True,1,uVGJJ1DB0,1,UC浏览器,0,回复@uBIB2JA0V： 转。//@uBIB2JA0V： 和平的在里头，手抄的在外头,0,2012-10-12,1,1
mJtkKFKiVa,33,m,False,1,uPA3OLFB5,0,S60客户端,0,哈！我们是金牌第一！,0,2012-08-01,1,1
mu9H2CuzVc,44,m,True,1,uQSMLDHHF,0,iPhone客户端,0,农村包围城市，是以毛泽东为代表的中国共产党人在领导中国革命实践中逐步摸索出来的一条具有中国特色 的发展道路和总战略//@uGL4423XB： 傻逼。我家的田都是京珠高速时被征掉了。说真的，下地里的苦，大部分城市人都是无法忍受的。听起来很浪漫，但至少早起（天还没亮那种）就这么稀疏平常的事儿，就做不到,0,2012-08-01,1,1
mwQSBh4dqK,400,m,False,1,uZNJ01PKV,0,iPhone客户端,0,台州早已是重污染区，当地已经出现癌症村，有些地方空气里都是刺鼻的化学药品味道。,0,2012-08-01,1,1
mJKOfGxySw,44,m,True,1,uK3RZTRWN,0,新浪微博,0,//@uVEQGWKC4：  //@uPVDKAVGM：  这期节目勾勒出一部足够震撼人心和催人泪下的悲剧。这样的表达，足够记录在这样的太平盛世里处处渗透出来的平凡人生的苦难。请记住那些好人们，也铭记那些罪恶。,0,2012-08-01,1,1
mH4j2w83T9,11,m,True,1,uHRVYBFHE,0,iPhone客户端,0,河流上下人民又要遭殃了！ //@u02HRAUC5： @uB5N4ZQNO： 地球天使EarthAngel: 求关注，为用水权益，也为环境@uTZ5VDYM4：  北京饮用水告急@uYC3ZZHJK：  为北京市五大水系之一上游河北王安镇涞源县杨家庄镇上游有4个大铁矿和铅锌矿，河岸堆积十几座尾矿山，铅锌矿采选业排放汞、镉、铅、砷，铅锌冶炼业排放镉、铅、砷,0,2012-08-01,1,1
mVQ8mM0xcm,31,m,True,1,uK3R0R0EI,0,新浪微博,0,确实有印尼朋友说：在印尼做中国人是个错误！//@ukn：  印尼华人打出标语：宁做美国狗不做中国人！这段很震撼 //@uOQZ3E05M：  //,0,2012-08-01,1,1
mGvt9k6xET,11,m,True,1,uWWBK5HXZ,1,iPhone客户端,0,无可救要了。,0,2012-08-01,1,1
mfsdZ1O2Uc,11,m,True,1,uR1WL5QCR,1,新浪微博,0,有深度，绝对值得一读的好文！！！,0,2012-08-01,1,1
mF80LPrxK0,11,f,True,1,uHQYSOEOP,0,三星Galaxy SIII,0,[偷笑] //@u351QG4OV： 如此露骨歌颂美帝，转发给大家看，大家一起转发！作为反面教材，一起打倒美狗！,0,2012-08-01,1,1
muyhJF97cC,37,m,True,0,u3515QCKO,0,新浪微博,1,【人民政府向人民妥协值得赞扬】 启东人民为阻止污水排海工程在市政府抗议示威，曾有扒掉市长衣服的过激行为。政府没有宣布少数坏人挑动，也没有追查“境外势力”，而是当机立断停止工程，百姓拍手称快。但是也有人说身为市长怎能向群众妥协，我说“公仆向主人妥协很光荣”，这才是真正的“维稳”！,0,2012-08-01,1,1
mevDRpDAlI,31,m,True,1,uK3RZZQRS,0,新浪微博,0,笑得怀孕了！//@ukn：  这节我爱过[哈哈]@uKPKZ2HPY： //@uCBTB4CYF： 扒衣见君^_^ //@uCBTD3GUU： [熊猫],0,2012-08-01,1,1
mjBtOH3QBk,81,m,True,1,uRSRDCAA2,0,新浪微博,0,"太反动了，坚决打倒！ //@uWWBG1CAL：  看看啥时候“不宜公开“[偷笑]//@uHRVMVOQ4： 转! 再次证明我的观念, 能逃就逃! 能逃人逃人, 能逃钱逃钱!",0,2012-08-01,1,1
mu9HxGKziN,31,m,True,1,uDZTFIYZ2,1,iPhone客户端,0,好文章，大家读读 //@u0VP2RX3Q： 这篇文章不错，想客观了解美国的可以看看！ //@uMMSDZMP5： 这是讲美国讲得最生动的好文！//@uR1WYPVBP：  好文！//@uP2ZYLW3A：  的确是好文！但要注意：别把人家的牌坊给推倒了！//@uCBTBJYZH：  //@uLUCYJACL：  //@uVT4L4NCI：  //@uUPCA5NKO：  这篇文章非常好。值得一读。,0,2012-08-01,1,1
mvR6NNmwrc,81,m,True,0,uKBQFBOIS,0,媒体版微博,0,【群眾要求關閉日資造紙廠】江蘇啟東市上週末爆發示威，迫使一家造紙廠建造污水管的計劃取消。近日，周邊城市的群眾也揚言要發起示威，要求這家工廠關閉。這家日資造紙廠在上週六群眾示威前停工，昨天復工。 (中文文摘) http://t.cn/zWNyvy3 (英文報導) http://t.cn/zWNyvy1,0,2012-08-01,1,1
m7yohhJ92X,11,m,True,1,u02L2UM3Q,0,新浪微博,0,"//@u3FT04VGP：  TNN的, 这也太过了吧？好像跟你挑逗地说“老子就是要奢侈，你想怎样？” 用英文说就是“Catch me, if you can!"" 网友可否人肉一下？//@uTS2532KX：  说他是警车他没挂警牌，说他不是警车，他头上顶着警灯。 //@ukn：  //@uMMSQTHGH：  //@杨承欣V//@MZ银川王潜: //@uPVDDBK2P： ",0,2012-08-01,1,1
mT5zJXhpcM,37,m,True,1,uONPGH1SE,1,新浪微博,0,建议@ukn： 或@uKBQNPFMT： 召开个新闻通气会，将有关情况通报一下！警务公开是应对舆情的最佳渠道。,0,2012-08-01,1,1
mgYzN3HIJX,11,f,True,1,u02HRAUC5,1,Android客户端,0, @uB5N4ZQNO： 地球天使EarthAngel: 求关注，为用水权益，也为环境@uTZ5VDYM4：  北京饮用水告急@uYC3ZZHJK：  为北京市五大水系之一上游河北王安镇涞源县杨家庄镇上游有4个大铁矿和铅锌矿，河岸堆积十几座尾矿山，铅锌矿采选业排放汞、镉、铅、砷，铅锌冶炼业排放镉、铅、砷，产生HW26 含镉废物、HW31 含铅废物。,0,2012-08-01,1,1
mEmCtgCy9r,31,m,True,0,uYC3VOJHE,0,iPhone客户端,1,暴雨中的无助者：生死诀别广渠门-http://t.cn/zWC0D62 这就是祖国首都的救援~ 这态度 这能力 这作秀 这结局 看得我想哭 祸从天降 大雨无情 水难者  为你点上一支蜡烛[蜡烛]献一束花 愿你们安息 天堂永远是晴天[太阳],0,2012-08-01,1,1
mvR6NmFVGo,400,m,True,1,uAHFM2N0H,0,iPhone客户端,0,[神马][浮云],0,2012-08-01,1,1
m5P2tgOmOx,11,m,True,0,uHJXN3X5E,0,新浪微博,0,说的不错，转一下：你一个为面条加不加蛋都想半天的人，给一餐上万的人捐款，你好意思么？ 你一个拿山寨机当手表的人，给戴百达翡丽的人捐款，你不害臊么？？ 你一个住月租几百元租房的人，给住别墅的人捐款，你不觉得可耻么？？ 你一个每天挤公交的人，给开兰博基尼的人捐款，你不害羞？？,0,2012-08-01,1,1
mevDhNGzPL,11,m,True,0,uTZ5OC3IO,0,新浪微博,0,有人把我的演讲稿《如秋水长天》翻译成了英文，链接在此：http://t.cn/zWC2kLp 有几处翻译错误，不过都不是很大问题，感兴趣的人可以读一读。,0,2012-08-01,1,1
mRspK7953w,100,m,True,0,uVEQGMXWX,0,iPhone客户端,1,崇文门地陷，望京地陷，西单地陷，亚运村地陷，回龙观地陷，三元桥地陷......，各位蛋定，出门绕行！,0,2012-08-01,0,1
mVZVAUSM8l,11,m,True,1,uR1WLLHQ5,0,Weico.iPhone,0,这也想得出来？//@uDSL1WSR： //@ukn： 日本鬼子侵略中国的时候制定过一相政策，叫“集村并镇”是为了防止抗日群众互相帮助串联的！//@uRSRQI2M1： 不是这个目的，摆不上台面说的目的。,0,2012-08-01,1,1
mLLxAgaSks,11,m,True,1,uR1WLLHQ5,0,Weico.iPhone,0, //@u0YUMNODF：  诸位朋友，请关注王教授。其人学养丰赡，兼通内外。在微博上极有战斗性，对“敌人”毫无妥协。,0,2012-08-01,1,1
