,mid,province,gender,verified,retweet_mid_indicator,uid,retweet_uid_indicator,source,image,text,geo,created_at,delete_indicator,censor_indicator
179109,mP6EGmgyhy,44,m,True,0,uQZ05IGQK,0,易车网,1,是为了悼念这家化作灰烬的销售店以及警醒失去理智的伪爱国者阳光下的暴行来自同胞的痛诉,0,2012-09-17,0,1
58390,mNpiSMUkMJ,11,m,True,0,uI43M2TC4,0,新浪微博,1,今天国航飞机返航这事可以拍电影了剧本这样写终于坐上了飞往美国的班机飞机缓缓起飞他长出一口气自由了想到自己那已经转出国外的几亿美刀和翘首以盼他到来的妻儿想着以后锦衣玉食的生活他微笑着进入了梦乡终于落地了他打开屏幕上出现的的是中国移动欢迎您,0,2012-08-29,0,1
60208,mUEMphRe9O,33,m,True,0,uQSML5HGZ,0,三星GalaxyNote,1,中共广州市越秀区委常委宣传部长陈晓丹不是另一个陈晓丹,0,2012-09-01,0,1
58058,mgwVNWdqbC,11,m,True,0,uQSM5LJG4,0,新浪微博,1,今天有多家报纸报道了福建表叔跨省毁报大家都在等这场不堪大任者与无耻妄行者的角斗最后的结局,0,2012-10-10,0,1
83222,mVQ5s1T9P7,81,m,True,0,uFABML10,0,FaWave,1,數十名要求撤回國民教育科的學民思潮成員繼續留守政府總部其中三的學生計劃絕食小時我個人贊成這種非暴力的抗爭方式希望港府撤回德育及國民教育科只推出香港人非常需要的德育科,0,2012-08-31,0,1
38967,m608I06LTm,43,m,True,1,uII5KA5TG,1,小米手机,0,法律有这样的规定怒是法律规定的吗岳麓区法院你牛逼大了,0,2012-10-27,0,1
139105,mFLSgbr6gx,11,f,True,0,uOQZ3FO1I,0,iPad客户端,0,什么最无用中国护照呗全世界最垃圾护照之一中国护照免签入境的国家仅仅个有个在非洲连去港澳都要签证全球个国家倒数第三仅列于朝鲜巴基斯坦之前免签的国家有些是从来没有听过的看看其他中国人香港免签国家个台湾免签国家个,0,2012-09-04,0,1
5877,mkpFvf5INN,46,m,True,0,uS5WVAU1K,0,新浪微博,1,向白岩松求证我对天发誓如果三个月没有百万人转的话表示我们中国人真的败了原来寄生等于自己养老同时向国务院有关部委求证,0,2012-08-18,0,1
114415,mEm8Abdmos,11,m,True,1,uII5BTCL5,1,iPhone客户端,0,还兴先放风的想形成中日对战格局给了谁另一方的民族主义者都不舒服奥奖很坏啊哈哈前年刘磕巴的事崔卫平做了个民间调查把丫吓坏了,0,2012-10-06,0,1
58213,mU5Nh0TkLm,21,m,False,0,uK3R3AJBB,0,新浪微博,1,敏感词慕容雪村据联合早报伯克利大学中国数字时代网从去年月开始收录新浪微博禁止搜索的敏感词至今年月日共收录个敏感词平均每天产生个新敏感词假设每个词两个字总计个字网上一份常用汉字表共收录了汉字不计重复部分这个月产生的敏感词就占去了,0,2012-08-27,1,1
106214,m9Rs7JKHNZ,11,m,True,0,uP2ZTCIYX,0,新浪微博,1,我们丢掉了什么改革把信仰丢了发展把道德丢了教育把灵魂丢了吃饭把健康丢了买房把幸福丢了经商把信誉丢了做官把底线丢了上访把自由丢了外交把形象丢了维稳把领海丢了工作把兴趣丢了结婚把爱情丢了生活把尊严丢了为了钱把什么都丢了,0,2012-08-28,0,1
127856,mFLEGQu4KB,31,m,True,1,u0AGYQYNJ,1,专业版微博,0,令人发指微博,0,2012-09-26,0,1
90035,mQFsu3mRSf,44,f,True,0,uI43YZHR1,0,iPhone客户端,1,惠州秩序井然,0,2012-09-16,1,1
42671,m9IZ6WoHnW,100,m,False,0,uRSRB3POP,0,新浪微博,0,故宫出大事了网友问是慈禧诈尸了还是太监长小了我答不能说,0,2012-08-31,0,1
13365,mqJeXytYAW,37,m,False,0,uM1ULU4GX,0,分享按钮,1,我叫单正国在青岛元鼎律师事务所作一名律师因代理案件年月日下午被两个歹徒从背后用铁棍袭击当时我被打得遍体鳞伤当晚嚣张的歹徒打电话让我退出吴志华与孔令奇的案件并威胁杀我全家轮奸我不满岁的侄女现凶犯至今在逃我被迫悬赏十万元人民币缉拿凶犯和幕后黑手,0,2012-08-13,0,1
217534,mr3dOGf8WU,61,m,False,0,u1O5Y2CXL,0,新浪微博,1,叛徒张国焘对伟光正的污蔑革命成功必独裁统治年张国焘办杂志污蔑共二十年来的悠长岁月之中党浸沉于残杀破坏扰乱之中假定党武装革命成功继军事征服力量而起的必然是一种独裁政治无疑张国焘是预言帝呀,0,2012-09-01,1,1
226,mkpuQZKbih,11,m,False,0,uRUURVQS,0,iPhone客户端,1,哈儿想把任建宇煽颠罪证送给莫言先生祝福他荣获诺贝尔和平奖,0,2012-10-11,0,1
86488,meBXIxjBub,400,m,False,0,uK3RRIB3N,0,360安全浏览器,1,钻石高行健获诺贝尔奖感言摘录其实作家同读者的关系无非是精神上的一种交流彼此不必见面不必交往只通过作品得以沟通文学作为人类活动尚免除不了的一种行为读与写双方都自觉自愿因此文学对于大众不负有甚么义务,0,2012-10-11,1,1
885,mdO7KzIJLw,11,m,False,0,uM1UWKVGJ,0,新浪微博,1,北京事儿只有一辆军车遵纪守法其他多车都在逆行怒,0,2012-08-09,0,1
86815,mnVislsZRh,11,m,True,1,u1CIABK01,1,随享.iPhone,0,呵呵呵据说一天元还发矿泉水,0,2012-09-16,0,1
56239,mGvjmqxmnz,400,m,False,0,uPVDGYZVG,0,新浪微博,1,三大无耻理论国情论凡是不如人家的都是国情不同这是万能遮羞布到最后连强拆和打死人都成了国情阴谋论动辄就是别国有阴谋还自以为洞悉政治本质这也是块遮羞布可以用此掩盖所有反人类行径历史无用论认为历史已经过去了不应再提却不知道如今的许多问题都是历史遗毒章立凡,0,2012-10-21,0,1
69388,m0WaVklCQs,44,m,False,0,uSIACIFSB,0,iPad客户端,1,最惊艳网易评论毛巨俠牛逼精选,0,2012-09-20,0,1
96967,m9IUmPaCU7,11,m,True,1,uJ2OA2OAG,1,新浪微博,0,怎么办倪,0,2012-09-25,0,1
158138,mvRRx8P3OM,43,m,True,1,uDG0SWMSC,1,Android客户端,0,唱的好月日湖南省莲花镇村民何志华拆迁被轧死月日湖北随州村民李芳胜拆迁被杀死月日辽宁盘锦村民王树杰拆迁被警察枪杀拆迁悲剧何时了一声叹息长沙湖南中国尽如是土家野夫,0,2012-09-25,0,1
148877,mtqxoWRwTE,50,m,False,0,uJWI2HJPF,0,Dell平板电脑,1,人民有尊严国家才配谈尊严俄罗斯比前苏联在国际上受侮辱大陆比台湾在国际上更受牛大陆有原子弹台湾没有但台湾护照免签国比大陆多得多你持大陆护照跟台湾人在全球一起走走就知道谁在外面受侮辱你再到官不聊生的台湾和民不聊生的大陆看看就知道哪里的人民在国内受侮辱转,0,2012-08-02,0,1
205945,mtq2M1YVFN,11,f,False,0,uW0EHXKHQ,0,定时8,0,吃着肯德起汉堡穿着地摊背着阿尼玛的包包拿着双卡双待的爱疯用着貌似度娘的综合搜索山寨无情的摧残着我们幼小的心灵亲你也中枪了么,0,2012-09-04,0,1
47247,m9IuUBXoCj,31,m,True,0,uBID0ZO0S,0,新浪微博,0,很多人没有意识到此次事件的严重性和历史标志性意义自义和团一边倒和火烧英国代办处这是第四回街上看到的只是虾兵蟹将和撒豆成兵的幻影而已不足为道真正严峻的问题是有人要直接否定所谓改革开放路线重开冷战并借重开新冷战重塑内部大政,0,2012-09-19,0,1
116056,mNpOAtUJTR,100,m,False,0,uR1WHMITA,0,新浪微博,1,爱国爱家爱防火防盗防尼玛,0,2012-10-28,1,1
58896,mRsgjVRgyq,11,f,False,0,uBIDINTD2,0,新浪微博,1,恭喜北师大中国两位在本土获得诺贝尔奖的中国人都是北京师范大学毕业的啊一个是年硕士毕业后留北京师范大学任教另一个是莫言年毕业于北京师范大学鲁迅文学院创作研究生班并获文艺学硕士学位,0,2012-10-11,1,1
116619,mTSUMtD6kd,100,m,True,0,uMLLCZGKS,0,新浪微博,1,一位年輕媽媽的現場記錄人是可以如此美好的相信正能量,0,2012-09-07,0,1
158060,mwuCBOJ7hQ,51,m,True,0,uY02EGS54,0,新浪微博,0,太原市富士康月日凌晨,0,2012-09-24,0,1
37241,mr3TEWgWpQ,11,m,True,0,uOQZLPO4S,0,iPad客户端,0,纽约时报报道的几个细节英国人敲诈金额是万英镑母子互称对方小兔和大兔小兔曾被英国人扣留在英国的一所房子里另一个没有实施的方案是把英国人定位为贩毒者由王局长在抓捕毒贩时开枪击毙案发夜谷拿着一瓶威士忌单独进入了英国人的房间,0,2012-08-11,0,1
135329,mj4YPYtwkz,61,m,True,1,uQZ0XXYJ4,1,新浪微博,0,草泥马极度恐怖,0,2012-09-26,0,1
190660,m7n6ZIolpp,81,m,False,0,uQZ0A3T4Z,0,新浪微博,1,江大前晚突然現身北京國大院攜夫人王平及前政局常委李清陪同的還有國家副席曾紅前副總理曾炎等演出屬包場不對外售票但邀請了很多在京的省部級高官出席觀看在一眾前高官陪同下包場欣賞西洋歌劇江坐足逾兩小時看全劇並登台發表講話,0,2012-09-25,0,1
74762,mtHKsDzTLU,81,m,False,1,uZNDM1EX3,1,iPhone客户端,0,叫吳克儉聽聽末世疯狂蜡烛从小学生到高中生一个也不要放过把唱国歌的全抓起来吧,0,2012-10-28,0,1
171054,mwuCJEPStB,11,f,True,0,uHQYSOEOP,0,新浪微博,0,越来越觉得这事不对劲四五十个城市同时起动人数不多但破坏力大几乎全部中青年男性集结后立即打砸目标感强防暴警察的执法不作为步调统一各路喇叭媒体和官博忙不迭对打砸暴行定性为爱国行为的过激表现显示打砸暴徒的微博被极快删帖这是不是一场根本与人民无关的有组织的暴行,0,2012-09-16,0,1
1366,m9IUQNhbGR,51,m,False,1,uSIA54GVT,1,Android客户端,0,同求谁这么无耻污蔑我伟大光荣正确的党求辟谣话筒话筒,0,2012-09-27,0,1
14095,mnViKzQrjZ,11,m,False,0,uWYNZ1CNE,0,新浪微博,0,老帅哥想您了,0,2012-09-15,0,1
174622,mPotRDJgaO,44,m,False,0,uWYNYPZ3I,0,淘宝客户端,1,公民恤公民文化衫团定款这个宝贝凑够件开始做有兴趣的师友请下单,0,2012-09-06,0,1
61796,mQFmxA0vym,45,m,True,0,uMLL0F13D,0,UC浏览器,0,小时候书本上说中国用世界的耕地养活了的人口可是它不告诉我们这人口养了世界的公务员这人口的教育经费只占世界的这人口的财富的集中在的人手里这的人口中的吃着全世界最毒的食物缴纳最高的税干最脏最累的活,0,2012-10-11,0,1
180606,mNTkOZSPpX,81,f,False,1,uMMSWSEFA,1,iPad客户端,0,赤果果的歧视我最近都不能睡我不过想安居乐业被条仆街搞到样样都不顺快下班的時候稍微看了一下新聞以為新政策對香港居民沒有影響現在看真點才發現只是對香港永久居民沒有影響曾俊華你翻屋企含啦遲早比港辦中辦革你職之前你都敢玩野,0,2012-10-28,0,1
136765,mhkm7CCTOF,11,m,False,0,uNEGFEZ32,0,iPhone客户端,0,的总编真是传媒界的一个奇葩贵报有几十万份吗跨省毁报谁毁的是烧的还是埋的遗迹在哪儿别出来说笑话了,0,2012-10-09,0,1
28042,m9RYq4tRL6,82,f,False,0,uHRV5FQHR,0,专业版微博,1,不要在充当冷漠的看客了不要在忍气吞声了我们吃着有毒的食物我们的财富被随意的挥霍我们的宪法被无情的践踏我们的正义被无耻的打压难道还要再沉默下去吗当下一个莫须有的罪名降临到你的头上你希望有人站出来为你讨还公道吗,0,2012-10-13,1,1
